Timestamp,What name do you want to be listed by?,What is your Mastodon handle (@user@instance.name)?,Do you have a Twitter handle you would like to share? (This can help people you know on Twitter to find you on Mastodon),"What are your main areas of specialization or interest (legal theory, tort law, international tax, etc.)?",Jurisdictions of interest?,Other info for short self-description,"If another list of Mastodon accounts is created that overlaps with those interested in law is created, may we share the info here with that list?"

11/18/2022 11:21:43,Evan McKenzie,@evanmckenzie@mastodon.social,@evanmck,common interest community association law; real estate,Illinois; California,I teach at the University of Illinois at Chicago in the political science department and the law school,Yes

11/18/2022 11:26:53,Mark Robinson,@markrobinson@c.im,@mrtipslaw,"IP, IT, and data protection",UK,"I am a solicitor specialising in intellectual property transactions. I also deal with IT agreements and data protection.

I provide my legal services on a consultancy basis to law firms, as well as directly to businesses.",Yes

11/18/2022 11:33:24,Andrew Shear,@ashear@mastodon.world,@Andrewcshear,"Criminal Legal System Reform, Criminal Defense, Innocence",United States,Director of Post Conviction Litigation at the Innocence Project; Long time Public Defender,Yes

11/18/2022 11:43:53,Abimbola Johnson,@barristerabi@mastodon.world,@barristerabi,"Human rights, crime, police accountability, racial discrimination, racisn",UK,Barrister at Doughty Street Chambers,Yes

11/18/2022 12:04:58,Russell Sandberg ,@sandbergrlaw@toot.wales,@sandbergrlaw,"Law and Religion, Legal History",England and Wales ,"My research interrogates the interaction between law and humanities, with particular expertise in Legal History and Law and Religion - especially reform of marriage law and education law ",Yes

11/18/2022 12:23:48,Victoria Saker Woeste,@vswoeste@sauropods.win,@VictoriaSWoeste,"Legal history, natural resources, discrimination, first amendment",,,Yes

11/18/2022 13:15:58,Mitchell Matorin,@matorinlaw@mastodon.sdf.org,@matorinlaw,Business litigation,"MA, Federal",Sole practitioner after years at DOJ and Big Law,Yes

11/18/2022 14:10:16,Michael Carrier,@mcarrier@mastodon.lawprofs.org,@profmikecarrier,"antitrust, IP",,,Yes

11/18/2022 15:05:33,Sakshi,@sakshi1990@mastodon.social,@sakshiaravind,"legal theory, decolonial legal theory, environmental law, climate change, strategic litigation, race and empire, Indigenous peoples, environmental justice ","Australia, Brazil, Canada, Sweden, Norway, Finland","I am a lecturer in law and social justice at Newcastle Law School, UK",Yes

11/18/2022 16:01:07,Katherine Florey,@florey@mastodon.lawprofs.org,@KatherineFlorey,"Federal Indian Law, conflict of laws, public health law, civil procedure ",California ,,Yes

11/18/2022 16:04:30,Charlotte Villiers,@CharlotteVilliers@mstdn.social,@CharlotteV64,"Corporate Governance, company law, employment law, sustainability law","UK, EU, US, international","Interested in law, politics, environmental and social justice",Yes

11/18/2022 16:55:57,Rebecca Monson,@rebeccamonson@aus.social,@RebeccaJMonson,"legal geography, political ecology, law and development, legal pluralism, feminist legal theory",Australia and Pacific,,Yes

11/18/2022 17:02:26,Maria Munir,@mariamunir@mastodon.social,@Maria_Munir,"LGBTQ+ right, public law, employment law, immigration and asylum, disability justice",England and Wales,"Grayâs Inn Baroness Hale and Dame Bracewell scholar | @bdabarorg Head of EDI | @lgbtfriend trustee | Came out to Obama | Consultant and speaker for numerous orgs from Leigh Day to Amnesty, FCDO to the UN ",Yes

11/18/2022 17:03:37,Andrew Chin,@chin@mastodon.lawprofs.org,chinunc,"patent, antitrust, contracts, technology, media, privacy, election, corporate, disability","USA, North Carolina","http://AndrewChin.comâ©
Interests span areas of law that present interesting mathematical questions (e.g., insider trading, gerrymandering). Works in progress criticizing Rucho and Moore, defending Myriad, and reframing patent doctrine to center the neurodiverse community of inventors. Old-school culture warrior for Asian American visibility and empowerment.",Yes

11/18/2022 17:30:53,Diane Marie Amann,@amann@mastodon.lawprofs.org,@DianeMarieAmann,"international law, constitutional law, human and child rights, international and transnational criminal law, laws of war",,,Yes

11/18/2022 18:04:38,Future data tech lawyer,@suzanherself@mastodon.social,@suzanherself,"IP, tech, data, space",any,"UNH Law student graduating May 2023, have been in tech and data for 35 years",Yes

11/18/2022 18:28:01,Ellen P. Goodman,@ellgood@federate.social,@ellgood,"Tech, media, free speech, property, regulation","US, EU, UK, CA, AU",Rutgers Law,Yes

11/18/2022 18:54:52,David Lillywhite,@DavidL@mastodonapp.uk,@Davvers,Family law,England & Wales,"Money and children solicitor, with a particular interest in cohabitation claims, Schedule 1 and trusts. Starting one in crypto but may live to regret it.",Yes

11/18/2022 20:01:13,Cesca Antonelli,@Cesca@masto.ai,@CescaAntonelli,"Legal news, analysis",US,Editor-in-Chief at Bloomberg Law,Yes

11/18/2022 20:09:51,Nell Minow,@nminow@c.im,@nminow,"corporate governance, shareholder activism",US ,"Co-founder of Institutional Shareholder Services, the activist LENS Fund, GMI Ratings and The Corporate Library",Yes

11/18/2022 21:07:15,Nick Bednar,@nickbednar@sciences.social,@nicholasbednar,Administrative Law,United States,,Yes

11/18/2022 22:17:32,Nik Bindi,@nikbindi@esq.social,@therealnikbindi,"Criminal law, antitrust, empirical analysis","US, Illinois",Iâm a law student at the University of Chicago ,Yes

11/19/2022 0:18:03,Janna Tay,@jannatay@mstdn.social,@janna_tay,"Tech law, M&A, venture capital, legal theory ","Australia, NZ, common law jurisdictions",,Yes

11/19/2022 0:18:20,Jennifer O,@PacingParalegal@masthead.social,,"Commercial Space Launch, Regulatory, & Government Procurement",Moving over from In-house Twitter and Twitter Law,"Loves launch, space & earth obersvation, and where tech meets law. ",No

11/19/2022 1:48:26,Aaron Moss,@amoss12000@aus.social,@A_M_Moss,"Administrative law, constitutional law, public law, statutory interpretation, native title law, admiralty law, public international law",Australia,"Senior Lawyer, Clayton Utz | Adjunct Researcher, UTAS Law | LLM Graduand, University of Cambridge (Gonville & Caius College)",Yes

11/19/2022 5:53:40,Emma Stephen,@emzleberry@mastodon.scot,@akawakeford,Commercial property and development,Scotland; England,,Yes

11/19/2022 6:40:32,Katherine Garrahan,@kgarrahan@home.social,@kgarrahan,"land use, real eastate, leasing",Massachustts,Commercial and nonprofit,Yes

11/19/2022 7:07:26,Ivan Ozai,@iozai@mas.to,@IvanOzai,"legal theory, tax law, international law",,"Professor at Osgoode Hall Law School, York University, Toronto",Yes

11/19/2022 7:17:48,Richard Bellamy,@rpbellamy1@mastodon.uno,@rpbellamy1," Legal Theory, Constitutions, Public  Law, Rights, International Law","UK, EU, USA, Canada, Australia, New Zealand, Germany, Italy","Professor of Political Science UCL, Visiting Professor Ethics and Public Policy Hertie School",Yes

11/19/2022 8:15:12,Amber Waves of Flame,@AmberWavesofFlame@qoto.org,@AmbrWavesoFlame,"consumer bankruptcy, traffic, criminal","Virginia, US",Lawyer based in Virginia who has practiced in the Hampton Roads and greater RVA areas.,Yes

11/19/2022 8:41:04,dishtowel,@dishtowel@mastodon.social,,Intellectual Property law,USA,Practicing attorney in corporate practice. Prefer to be anonymous ,Yes

11/19/2022 9:33:23,Leon Kazakos,@leonkazakos@toot.community,@leonkazakos,Criminal Defence,England & Wales,Barrister at 2 Hare Court,No

11/19/2022 10:00:13,Heather Green ,@VotingRules@mastodon.social,@VotingRules ,"Election Law, Public Law, Constitutional Law, Human Rights Law","UK & comparative especially US, Canada, Australia, New Zealand ","I'm an independent researcher (I don't use an institutional affiliation) working mainly on UK election law, policy & reform issues. I'm also writing on voting rights doctrine in European human rights law, and am interested in comparative approaches to election law as a field. I was formerly a senior lecturer in public law & human rights. I'm based in Aberdeen, Scotland.",Yes

11/19/2022 10:40:28,Reginald Oh,@ReginaldOhLaw@Mastodon.Lawprofs.org,@ReginaldOhLaw,"Constitutional Law, race, equal protection, fundamental rights",,,Yes

11/19/2022 10:49:34,Marta Maroni,@martamaroni@eupolicy.social,,"Sociology of Constitutions/constitutionalism, Internet regulation, platform governance,  transnational Law ",,Post Doc Faculty of Law Helsinki ,Yes

11/19/2022 11:56:04,Andy Kaplan-Myrth,@andykm@mastodon.social,@kaplanmyrth,"Technology and Internet law, telecommunications","Canada, Ontario","In-house counsel at TekSavvy, working on competition in the telecommunications and broadcasting regulatory spaces.",Yes

11/19/2022 12:06:07,Daniel Shinkle,@Danl@deacon.social,@DanielBShinkle,Criminal Defense,Illinois,Public Defender in small rural county,Yes

11/19/2022 13:29:55,Balazs Bodo,@bodo@someone.elses.computer,@bodobalazs,information law,EU,"social scientist in the field of (c), tech governance",Yes

11/19/2022 13:46:00,Aaron Landau,@AaronLandau@appellate.social,@JAaronLandau,"Civil appellate practice, Oregon elections, administrative law",Oregon and 9th Circuit,Also an instructor at University of Oregon School of Law,Yes

11/19/2022 14:34:32,Mohd Imran,@imranmohd288@lawprofs.org,@imranmohd288,"International Law, Theory and History of International Law","India, Maldives, South Asia","Mohd Imran is Lecture of Public International Law at Faculty of Shariah and Law, Maldives. He also teaches LLB and LLM programs offered by the University of West of England, Bristol at Villa College. ",Yes

11/19/2022 14:54:42,Evan Bernick,@ebernick@mastodon.lawprofs.org,@evanbernick,"Constitutional law, criminal law, criminal procedure, jurisprudence ",,,Yes

11/19/2022 15:07:34,Valentin Jeutner,@vjeutner@mastodon.lawprofs.org,@ValentinJeutner,Legal Philosophy / International Law / Law & Religion,"World, Europe, Sweden","Ass. Prof. Lund University, Sweden",Yes

11/19/2022 17:15:28,Richard Honey KC,@RichardHoney@mastodon.green,@RichardHoney,"public law, environmental law","England, Northern Ireland, Sierra Leone",Barrister at Francis Taylor Building - & KBW Chambers in Leeds & the Bar Library in Belfast; public & environmental law; UK Sierra Leone Pro Bono Network steering group chair,Yes

11/19/2022 18:17:12,Jon Michaels,@jonmichaels@mstdn.social,@JonDMichaels,"Con Law, Admin Law, Law and Democracy, Bureaucracy, National Security","US, global, esp if related to threats to illiberalism, threats to democracy, admin state",Prof of Law @UCLA Law.  ,Yes

11/19/2022 19:01:48,Evan Kline,@40tech.mastodon.social,@40Tech,Personal injury,Pennsylvania,,Yes

11/19/2022 20:59:39,Jeri M,@jmooch@masthead.social,@mrsmuccio,"General, criminal","Federal, RI, MA, CT",,Yes

11/19/2022 21:57:14,Denise Howell,@denise@twit.social,dhowell,tech law; online communication; privacy; tech policy,U.S.,Tech lawyer and podcast host,Yes

11/19/2022 21:57:49,Kelly Phillips Erb,@taxgirl@c.im,@taxgirl,"tax controversy, tax policy, tax",,"I'm a tax attorney and I also write for Bloomberg Tax (previously Forbes). 
PS: I also tend to talk about my kids, soccer, and plants. I've tried to stop, but alas, I cannot.",Yes

11/19/2022 22:01:52,Kricket,@Kricket@twit.social,,"Conflicts of interest, professional responsibility, legal ethics","Washington State, California, Illinois, New York, Oregon, Texas, Florida",I have been practicing in the area of ethics and professional responsibility for over 15 years and love to nerd out over those topics.,Yes

11/19/2022 22:16:03,Travis Wise,@twisesq@sfba.social,,International corporate tax,Global,Senior international tax counsel at Google,Yes

11/19/2022 22:18:52,SkyKiss ,@SkyKiss@sfba.social ,@mana_kai7 ,"Maritime, family ",,,Yes

11/19/2022 22:51:20,"J. ""Maverick"" McWilliams",@JMaverickJacks1@mastodon.world,@JMaverickJacks1,"First Amendment, civil liberties, social justice","Tennessee, Georgia, D.C., New York, California",Christian author and ex-Senate aide who promotes human rights for everyone. Pray for me.,Yes

11/19/2022 23:01:13,Louik Law Offices,@HMLEsq@toot.community ,No,"Municipal, Eminent Domain, Tort",Pennsylvania ,47-year practitioner ,Yes

11/19/2022 23:03:12,Marnie Riddle,@marnier@mastodon.social,@marnier,"Environmental, land use, climate, water, tribal law, environmental torts",U.S. federal,Environmental litigator -> environmental Ph.D. -> federal agency lawyer,No

11/19/2022 23:11:39,Buffy Summers and Mr. Pointy,@buffyann1998@mastodon.social,@buffyann1998,"Government law, litigation",Texas,,Yes

11/19/2022 23:14:10,Connor Moran,@connormoran@esq.social,ConnorJMoran,Tax,"Oregon, Washington, US Federal Tax","Attorney in Portland, Oregon specializing in tax planning and controversies",Yes

11/19/2022 23:21:46,Ruth Anne Robbins,@RA_Robbins@mastodon.social ,RA_Robbins,"Legal writing, Legal Education, Applied Legal Storytelling, Visual Legal Writing ",New Jersey ,Law prof at Rutgers Law,Yes

11/19/2022 23:33:08,Laura Macom,@lmacom@c.im ,@lauramacom,"Constitutional law, tort law, health law",Texas,Med mal defense and appellate law ,Yes

11/20/2022 0:26:47,Larry Zerner ,@Zernerlaw@mastadon.com,@Zernerlaw ,Copyright & Entertainment ,,,Yes

11/20/2022 3:04:39,Matija Å uklje,@hook@mastodon.social,,"IP law, copyright, FOSS licensing, IT law","Slovenia, EU (+ US, German, French to a lesser extent)",In-house lawyer with exp. in FOSS NGOs and gov.,Yes

11/20/2022 3:20:18,Sara Wilder Clark,@sarawilderclark@mstdn.party,I deleted my Twitter account.,I have practiced civil litigation for 27 years. I am interested in environmental issues and human rights issues.,"Texas, Spain","I have practiced civil litigation in Austin, Texas for 27 years. I live part of the year in Alicante, Spain, while managing my cases remotely.",Yes

11/20/2022 4:47:05,Erik Lang,@Wlerik@union.place,@Wlerik,"Employment, immigration, labor ",U.S. ,Immigration and Nationality Act (INA),Yes

11/20/2022 7:40:29,Eden Lapidor,@edenlapidor@ohai.social,Edenla9,"IHL, IHRL, ICL",,SJD candidate at Georgetown Law Center,Yes

11/20/2022 8:34:14,Maury Landsman,@maurylandsman@mastodon.social,@maurylandsman,Professional Responsibility Legal Education,,Emeritus Clinical Professor University of Minnesota Law School,Yes

11/20/2022 8:39:09,S.E. Olson,@VDOVault@bbq.snoot.com,@ThatVDOVault,"Intellectual Property law, Internet law, Entertainment Law, Alternative Dispute Resolution",Federal (licensed in Texas but am currently on inactive status),Am also on Counter Social as @VDOVault,Yes

11/20/2022 8:42:43,Frank Pasquale,@FrankPasquale@mastodon.social,@FrankPasquale,"Law & Technology, AI Law & Policy","US, EU, Australia","Books: Black Box Society, New Laws of Robotics ",Yes

11/20/2022 8:46:58,Ben Vernia,@BenVernia@mstdn.party,@BenVernia,Government fraud and whistleblowers,US Federal,"Former DOJ, in private practice in Washington DC",Yes

11/20/2022 8:47:01,Gregg Caruso,@greggcaruso@zirk.us,@GreggDCaruso,"Philosophy of law, jurisprudence, criminal law, punishment",,,Yes

11/20/2022 10:31:05,Alex Gulotta,@alexgulotta@mastodon.social,@alexgulotta,Voting rights & anti-poverty law,AZ,"Anti-poverty lawyer, strategy consultant, voting rights advocate. he/him. These views are my own. @alexgulotta@mastodon.social CounterSocial/Tribel: alexgulotta",Yes

11/20/2022 11:14:14,Eric Muller,@elmunc@mastodon.lawprofs.org,@elmunc,"American legal history, Asian American legal history, Holocaust, professional ethics",,I write about the removal and imprisonment of Japanese Americans in WWII and think a lot about how professionals support unjust systems.,Yes

11/20/2022 11:28:20,Brian Matthews,@brianmatthews@toot.community,,"Criminal law (defense), civil rights",California & Federal,Public Defender (supervising homicide team),No

11/20/2022 11:35:29,Mark Fenster,@mfenster@universeodon.com,@mfenster21,"admin, contracts, transparency, intellectual history","US federal, states","Law prof, University of Florida",Yes

11/20/2022 12:09:08,Claret Vargas,@claret@ohai.social,@claretmarcia,"International human rights law, business and human rights, regional human rights systems, universal jurisdiction for war crimes and crimes against humanity. ",,"Focused on ATS and TVPA litigation, and regional human rights systems litigation. ",Yes

11/20/2022 12:19:49,Sarah Lawsky,@sarahlawsky@mastodon.social,@sarahlawsky,"tax, logic, programming languages",,,Yes

11/20/2022 12:37:08,Peter Wills,@pwills@mastodon.social,@pwillsit,"AI, torts, complex litigation, insolvency, private international law, Canadian constitutional law, Westminster constitutional law","Canada, UK",,Yes

11/20/2022 13:28:04,Daphney D.,@daphneyd@hachyderm.io,,"Veterans, landlord/tenant / fair housing",,,Yes

11/20/2022 14:36:45,Malcolm Niekirk,@MalcolmNiekirk@mastodonapp.uk,,Insolvency ,England & Wales,Practising solicitor; partner in Frettens (UK south coast).  Interested in insolvency law for more than 30 years.,Yes

11/20/2022 15:38:49,Anthony Pusateri,@anthony@esq.social,,"Bankruptcy, Restructuring, Creditors' Rights, Technology","Arizona, Federal",Junior (soon-to-be-mid-level) associate at a law firm in Downtown Phoenix.,Yes

11/20/2022 15:47:24,Rob Ward,@rob_w_ward@esq.social,@rob_w_ward,"criminal defense indigent defense, appellate, tax",,,No

11/20/2022 16:54:16,Molly Tack-Hooper,@mollytack@urbanists.social,@mollytack,"Environmental justice, civil rights","Washington, Oregon, Pennsylvania ","Senior attorney at Earthjustice, formerly at the ACLU of Washington and the ACLU of Pennsylvania",Yes

11/20/2022 17:10:51,Michael Lawrie,@lorry@mstdn.social,Lorry,"Social media policy, governance and international compliance",Social Media Policy,,Yes

11/20/2022 17:40:47,Will Richmond-Coggan,@TechLitig8or@mastodon.world,@Tech_Litig8or,"Data, Media and Information Law",UK/Europe,"I'm a solicitor advocate specialising in disputes and advice in relation to tech, data, privacy and information law issues. GDPR nerd!",Yes

11/20/2022 18:08:30,Jenny Andrews,@JPAndrews@mindly.social,@JennyPAndrews,"Public defense, Well Being in Public Defense, Training Public Defenders ",US,,Yes

11/20/2022 18:26:25,Joshua Heslinga,@joshuaheslinga@mastodon.world,@JoshuaHeslinga,"State administrative law, procurement, legislative process, and open government",Virginia,"Current: Director, Legal & Legislative Services, Virginia IT Agency; board member, Virginia Coalition for Open Government. Former: Office of the Attorney General of Virginia; private practice.",Yes

11/20/2022 19:21:09,Yael Cohen Rimer,@Yaelcr@tooot.im,@YaelRimer,"Poverty Law, Property, Human Rights, Legislation ",,Postdoc at Harvard Law School. PhD from Hebrew U. Former community lawyer. ,Yes

11/20/2022 19:59:24,Doron Dorfman,@DorfmanDoron@noc.social,@DorfmanDoron,"Health Law, Disability Law, Torts, Employment Discrimination, Insurance Law, Family Law ",,Associate Professor at Seton Hall Law School,Yes

11/20/2022 20:04:54,Joseph Ellis ,@ellisjoseph@toot.community,@ellisjoseph,"Civil law, human rights and competition law.",Malta,,Yes

11/20/2022 20:26:36,Joshua Weaver,@we4v3r@mastadon.world,@we4v3r,"Entrepreneurship, Privacy, Cybersecurity, DeFi, Legal Tech",NA,"Iâm an entrepreneur, technologist, and attorney. Currently serving as the director of the worldâs largest legal incubator, TOJI. I help other lawyers start and grow sustainable, A2J focused law firms. ",No

11/20/2022 20:35:24,Cat London,@ CatMDJD@universeodon.com,@CatMDJD but I got rid of it,"health law, medmal, criminal law, privacy law, constitutional law, civil rights","Federal, NJ, NY, ME",MD x 25 years graduated law school May 22 Judicial Clerkship now.,Yes

11/20/2022 20:47:36,Quinn Yeargain,@quinnyeargain@mastodon.lawprofs.org,@yeargain,"State constitutional law, election law",All over!,Assistant Professor of Law at Widener Commonwealth and obsessive about all things state conlaw and state institutional development,Yes

11/20/2022 20:50:23,Deborah Archer,@DeborahArcher@mastodon.lawprofs.org,@DeborahNArcher,"civil rights, race, CRT",,,Yes

11/20/2022 21:06:17,none,@redwater@mas.to,,"unhoused rights, tenant law, eviction defense, real property, constitutional law, civil procedure, international law, human rights","california, US",litigator and appellate work,Yes

11/20/2022 21:14:57,Kyron Huigens,@kyron@mas.to,,"Criminal law, Criminal procedure, Theory of punishment, ",,,Yes

11/20/2022 21:38:41,JoAnn Holmes,@blockchainip@law.builders ,@HolmesAtLaw,"Web3, Digital Assets, NFTs, DAOs, the metaverse, blockchain tech, Global IP",United States ,IP & Digital Assets Attorney | Web3 Advisor ,Yes

11/20/2022 22:01:36,David Nathanson,@D_J_Nathanson@mastodon.social,@D_J_Nathanson,Criminal defense,"Massachusetts, First Circuit, SCOTUS","Partner at Wood & Nathanson. Criminal defense, appellate practice, public records.",Yes

11/21/2022 0:11:00,Brian L. Frye,@brianlfrye@mastodon.lawprofs.org,@brianlfrye,"copyright, art, plagiarism, nfts, legal history",tlon,LBRY Professor of Securities Fraud,Yes

11/21/2022 0:54:16,Jake Charles ,@JacobDCharles@mstdn.social,@JacobDCharles,Firearms law,,,Yes

11/21/2022 2:09:50,Coleen Cusack,@Objkshn@esq.social,@objkshn,"Criminal Defense, Human Rights, Constitution, Racial Justice, pro bono defender of homeless persons. ",California,"Mom, Abolitionist, Feminist, Bisexual Polyamorous, Chess Enthusiast, Board Game Designer, she/her pronouns",Yes

11/21/2022 5:29:54,Jonathan Brown,@SartorialOrator@mastodon.scot,@SartorialOrator,"Scots law, private law, legal history, legal theory, Roman law",Scotland; Rome; South Africa,"Senior Lecturer in Scots Private Law. Dabbling legal historian, teacher of Roman law and interested in all things jurisprudence. Account likely to be accompanied with pictures of dogs, when I figure this all out.",Yes

11/21/2022 5:57:49,Massimo Fichera,@massimofichera@fediscience.org,@massimofichera,"Legal theory, constitutional theory",,,Yes

11/21/2022 6:42:25,John Paolo A. Villasor,@cyberdean07@esq.social,@cyberdean07,"Constitutional Law/Human Rights/IHL, Privacy Law/Cyber Law, Law of the Sea/Environmental Law","U.S. Federal, New York, California, England, Philippines, Singapore, ICC, ICJ, ITLOS","National Adviser on Legal Education, Integrated Bar of the Philippines & Vice Chairman, Department of Human Rights Law & International Humanitarian Law, Philippine Judicial Academy ",Yes

11/21/2022 7:34:49,Eric Brignac,@ericbrignac@mastodon.social,@ericbrignac,Criminal/Appellate,Federal,Chief Appellate Attorney at EDNC Fed. Public Defender. Adjunct Professor of Law at UNC-CH,Yes

11/21/2022 7:35:18,Lee Carpenter ,@dogsandcheese@masto.nu ,,"LGBTQ rights, legal ethics, public interest lawyering, legal writing","Pennsylvania, New Jersey ",Law prof and civil rights lawyer ,Yes

11/21/2022 8:13:45,Jessica A. Shoemaker,@Jess_Shoemaker@mastodon.lawprofs.org,@ShoemakerJess,"property law, land tenure, federal Indian law, agricutural law, natural resources","United States, Canada",Property law prof working on who owns agricultural land in America and why - and what next. Fulbright Scholar | Carnegie Fellow | Rural Reconciliation Project ,Yes

11/21/2022 8:19:02,Marin K. Levy,@MarinKLevy@mastodon.social ,@MarinKLevy,Courts,,,Yes

11/21/2022 8:36:52,Susan Hackett,@susanhackett@mastodon.io,@HackettInHouse,"In-house counseling, innovation, law practice management, professionalism, A2J, Client-Centric Design, Inclusion","US, global","CEO, Legal Executive Leadership, LLC (current/11 years); former GC of the Association of Corporate Counsel (ACC) (22 years)",Yes

11/21/2022 8:53:46,Michael Adams-Hurta,@adams_hurta@appellate.social,@adams_hurta,"Civil Appellate Procedure, Voting Rights",Texas,,Yes

11/21/2022 9:11:32,Anna Saunders,@annajsaunders@zirk.us,@annajsaunders,"Public international law, patent law, law and climate, legal theory, legal history",,,Yes

11/21/2022 9:12:14,Lex Gill,@lexis@mastodon.social,@lex_is,"constitutional law, civil liberties, technology, public and administrative law, national security, appellate","Canada, United States, Ontario, Quebec","litigator, public interest, class actions, trial and appellate practice",Yes

11/21/2022 9:59:48,John E. Grant,@agileattorney@law.builders,@jegrant3,"Legal Operations, Legal Industry Regulation, Legal Process Improvement",,"I'm a lawyer who focuses on legal operations and process improvement, primarily for PeopleLaw practices. I also work on legal regulation projects in Oregon & elsewhere, and I'm the board president at The Commons Law Center. I've been called a ""workflow whisperer.""",Yes

11/21/2022 11:08:26,Christopher M. Lapinig,@calamansi@mastodon.social,,"voting rights, election law, constitutional law, litigation, human trafficking, immigrant rights, civil rights, litigation","California, New York, United States","Queer and progressive Filipino American attorney. Voting rights litigator. Proud double Yalie. Born and raised in Queens, now based in Los Angeles. Former Fulbright Scholar and Skadden Fellow. Secretary for the Pilipino American Los Angeles Democrats.",Yes

11/21/2022 11:11:38,Ralph Janik,@ralphjanik@mastodon.lawprofs.org,@RalphJanik,"international law, EU law, constitutional law","Austria, US, Germany, EU","I teach international law at Sigmund Freud PrivateUniversity Vienna, University of Vienna, Andrassy University Budapest and Bundeswehr University Munich",Yes

11/21/2022 11:20:47,Matthew Bruckner,@matthew@mastodon.lawprofs.org,@Prof_Bruckner,"bankruptcy, consumer law, student loans, fintech",DC,,Yes

11/21/2022 12:08:28,Frank Johns,@OdenC@OdenCranston@mas.to,No,Broadly,Broadly,"Iâve been in practice for 25 years, 12 of which has been spent operating a small firm. Iâm at a career inflection point where I crave opportunities beyond the familiar. To that end, Iâm curious about what others are doing and keeping an eye on new developments in legal thoughts.",No

11/21/2022 12:32:46,Blayne Soleymani-Pearson,@babab@masthead.social,baba_bsp,Employment and Labor Law,"US Federal, Oregon, Washington","I'm a first-generation, 2nd career attorney. I work in employment law but my passion lies in immigration, human rights, and civil rights law.",Yes

11/21/2022 17:09:55,Daniel R Quiroga Villamarin,@quirogavillamarin@mastodon.world,,International Law; Global History; Social Theory,"Colombia, Switzerland, Australia, United States",,Yes

11/21/2022 17:14:05,Tamar Yellin,@tamaryellin@mastodon.world,@TamarYellin,"title, real estate, trademarks, IP",,,Yes

11/21/2022 18:27:33,Amy O'Halloran,@AmyOHalloran@mastodon.lawprofs.org,,"Transnational Legal Theory, Transnational Law, Global Law, Globalisation, Environmental Law",,,Yes

11/21/2022 18:47:02,Antone Johnson,@antone@mastodon.social,@antonejohnson,"Internet law, social media law, startup EC/VC corporate practice, tech transactions, privacy, tech policy","US, California","Former eHarmony GC, original MySpace in-house counsel; private practice emphasizing UGC/social media, consumer Internet, ecommerce, fintech; outside general counsel and corporate (ECVC) / tech transactions âswitch hitterâ",Yes

11/21/2022 19:32:43,Michael Smith,@mcsmith@c.im,@mcj_smith,Litigation - Federal Court,"Eastern, Northern & Western Districts of Texas","Lawyer in Marshall, Texas.  Federal court practitioner, ship modeler, and inveterate learner.",Yes

11/21/2022 21:30:16,Brenda Simon,@brendasimon@mastodon.lawprofs.org,@SimonBrenda,"Intellectual Property, Patents, Data, Information, Property, Innovation",US,,Yes

11/21/2022 22:12:19,Susan Joseph,@Susanj@mastadon.sdf.org,@SusanJoseph1786,"Digital assets, privacy, technology, digital rights, data",USA,,No

11/22/2022 7:11:13,Bennett Capers,@ProfBennettCapers@mastodon.lawprofs.org,@BennettCapers,"criminal justice, race, gender, technology",United States,"Law Professor and Director of the Center of Race, Law, and Justice at Fordham Law School",Yes

11/22/2022 7:25:52,Communicourt,@Communicourt@mastodonapp.uk,@Communicourt,"Communication difficulties, Access to Justice",England & Wales,We are the largest provider of HMCTS Appointed Court Intermediaries across England and Wales. ,Yes

11/22/2022 8:58:35,Claire Glasgow,@claireglasgow@mastodonapp.uk,,Catastrophic injury and sexual assault (Claimant),England & Wales,"Serious injury/sexual assault solicitor - I only represent claimants
Senior Associate @ Fieldfisher
Headway Sussex trustee & Access Social Care legal volunteer. Passionate about access to justice and supporting womenâs rights.",Yes

11/22/2022 9:43:59,Rebecca A Boorstein,@raboorstein@h-net.social,@raboorstein,"disability law, legal history",,JD/PhD Student in History,Yes

11/22/2022 10:20:39,Andrew Keogh,@crimeline@mastodonapp.uk,@crimelinelaw,Criminal,England & Wales,,Yes

11/22/2022 12:01:46,Debora Plehn-Dujowich ,@deboraplehn@mastodon.world,@deboraplehn,"Patents, IP, Biotech, Chem, Pharma",US and worldwide ,I am a partner at Eckert Seamans in Philadelphia ,No

11/22/2022 13:14:59,Mailyn Fidler,@mailynfidler@mastodon.lawprofs.org,@mailynfidler,"criminal law, tech law, copyright ",,,Yes

11/22/2022 15:25:55,James M Branum,@jmb@social.coop,kg5jst,"Military Law, Ham Radio Law","Nationwide in the US (military and radio law), Oklahoma (civilian law)",I do most my legal work through the @okobjector@okpeace.org Oklahoma Objector Community.,Yes

11/22/2022 15:43:36,Jens Theilen,@jtheilen@mas.to,@jtthei,"human rights (esp ECHR), critical legal theory (feminism, queer theory, postcolonial theory/TWAIL), international law, citizenship and migration law, legal theory, data & surveillance",,,Yes

11/22/2022 19:38:39,Ron Levi,@ronlevi@mastodon.social,@ronleviutoronto,law and society; international justice,US; France; Canada; international,,Yes

